"District","School","Sample Name","Facility Location ID","Sample Type","Location Description","Date Collected","Result (mg/L)","Unit (mg/L)","Result (PPB)","Unit (PPB)","Qualifier","Reporting Limit","Immediate Response","Permanent Solution","Confirmation Sampling"
"Indian River","Phillip Showell Elementary School","IR-15-1-Cafe-WBF-SS-08","8","SS","Water Bottle Filler in Cafeteria","12/23/2022","0.0069","mg/L","6.9","ppb",,"0.002","Fixture Shut Off","Filter Installed","Sampling confirmed levels below action level."
"Christina","Albert H. Jones Elementary School","CHR-13-2-A201-DW-SS-04","4","SS","Second Floor Water Fountain Room A201","01/25/2023","0.0068","mg/L","6.8","ppb",,"0.002","Water bubbler on sink taken out of service.","Fixture was replaced",
"Indian River","Indian River High School","IR-7-1-E102-DWC-SS-19","19","SS","Drinking Fountain w/Cooler Room E102","01/04/2023","0.0068","mg/L","6.8","ppb",,"0.001","Fixture Shut Off","Filter Installed","Sampling confirmed levels below action level."
"Cape Henlopen","Mariner Middle School","CAPE-6-1-BLR-DWC-SS-03","3","SS","Water Fountain w/Cooler Boy's Locker Room","03/09/2023","0.0067","mg/L","6.7","ppb",,"0.002","NA","NA","NA"
"Colonial","William Penn High School","COL-13-01-GYM-DW-SS-33","33","SS","Water Fountain Gym","01/13/2023","0.0065","mg/L","6.5","ppb",,"0.002","Shutdown Fixture","Removed",
"Red Clay","Anna P. Mote Elementary School","RED-3-1-TL-DW-SS-10","10","SS","Teachers Lounge Water Fountain","03/02/2023","0.0065","mg/L","6.5","ppb",,"0.002","Fixture Shut Off","Replaced with new ION water fountain machine","Awaiting test results (from week of 7/24)"
"Colonial","Castle Hills Elementary","COL-3-1-C6-DWC-SS-50","50","SS","Water Fountain w/Cooler Room C6","01/14/2023","0.0064","mg/L","6.4","ppb",,"0.002","Shutdown Fixture","Replace fixture and domestic feed lines",
"Christina","Wilson Elementary","CHR-26-B-22P-DW-SS-11","11","SS","Basement Water Fountain Room 22P","02/03/2023","0.0063","mg/L","6.3","ppb",,"0.002","NA","NA","NA"
"Red Clay","Thomas McKean High School","RED-23-1-B34-DWC-SS-09","9","SS","Water Fountain w/Cooler Room B34","03/17/2023","0.0063","mg/L","6.3","ppb",,"0.002","NA","NA","NA"
"Red Clay","Anna P. Mote Elementary School","RED-3-1-111-DW-SS-27","27","SS","Water Fountain Room 111","03/02/2023","0.0061","mg/L","6.1","ppb",,"0.002","Fixture Shut Off","Fixture Permanently Removed From Service","NA"
"Red Clay","Heritage Elementary School","RED-12-1-27-DW-SS-31","31","SS","Water Fountain Room 27","03/08/2023","0.0061","mg/L","6.1","ppb",,"0.002","NA","NA","NA"
"Caesar Rodney","McIlvaine Early Education Center","CR-9-1-16-DW-SS-29","29","SS","Room 16 Water Fountain","04/07/2023","0.006","mg/L","6","ppb",,"0.002","NA","NA","NA"
"Christina","Keene Elementary School","CHR-14-1-411-DW-SS-54","54","SS","Water Fountain Room 411","01/27/2023","0.006","mg/L","6","ppb",,"0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Fixture will be replaced.  Additional water coolers will be added to the school.",
"Colonial","Wilmington Manor Elementary School","COL-14-01-6-DW-SS-27","27","SS","Water Fountain Room 6","01/10/2023","0.006","mg/L","6","ppb",,"0.002","Shutdown Fixture","Replace bubbler and domestic feed lines",
"Caesar Rodney","DAFB Middle/Welch Elementary","CR-4-1-130-DW-SS-02","2","SS","Room 130 Water Fountain","03/30/2023","0.0059","mg/L","5.9","ppb",,"0.002","Turn off fixture","Change fixture","Occurring Summer 2023"
"Christina","McVey Elementary School","CHR-19-1-23-DW-SS-17","17","SS","Water Fountain Room 23","02/01/2023","0.0059","mg/L","5.9","ppb",,"0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Water bubbler on sink taken out of service.  Hand washing only sign posted.",
"NCC Vo-Tech","Delcastle Technical High School","NCC Vo-Tech-1-1-MBR-DWC-SS-50","50","SS","First Floor Water Fountain w/Cooler by Men's Restroom","03/11/2023","0.0059","mg/L","5.9","ppb",,"0.002","NA","NA","NA"
"Charter School","Charter School of Wilmington","RED-1-3-319-DWC-SS-45","45","SS","Third Floor Water Fountain w/Cooler Room 319","03/03/2023","0.0058","mg/L","5.8","ppb",,"0.002","NA","NA","NA"
"Christina","McVey Elementary School","CHR-19-1-22-DW-SS-10","10","SS","Water Fountain Room 22","02/01/2023","0.0058","mg/L","5.8","ppb",,"0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Water bubbler on sink taken out of service.  Hand washing only sign posted.",
"Red Clay","Shortlidge Elementary School","RED-8-2-219-DW-SS-35","35","SS","Second Floor Room 219 Water Fountain","03/22/2023","0.0058","mg/L","5.8","ppb",,"0.002","NA","NA","NA"
"Christina","Albert H. Jones Elementary School","CHR-13-1-A102-DW-SS-17","17","SS","First Floor Water Fountain Room A102","01/25/2023","0.0057","mg/L","5.7","ppb",,"0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Fixture was replaced",
"Christina","McVey Elementary School","CHR-19-1-18-DW-SS-08","8","SS","Water Fountain Room 18","02/01/2023","0.0057","mg/L","5.7","ppb",,"0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Water bubbler on sink taken out of service.  Hand washing only sign posted.",
"Christina","McVey Elementary School","CHR-19-1-15-DW-SS-34","34","SS","Water Fountain Room 15","02/01/2023","0.0057","mg/L","5.7","ppb",,"0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Water bubbler on sink taken out of service.  Hand washing only sign posted.",
"Christina","Smith Elementary School","CHR-24-1-109-DW-SS-19","19","SS","Water Fountain Room 109","02/02/2023","0.0057","mg/L","5.7","ppb",,"0.002","NA","NA","NA"
"Red Clay","Heritage Elementary School","RED-12-1-26-DW-SS-29","29","SS","Water Fountain Room 26","03/08/2023","0.0057","mg/L","5.7","ppb",,"0.002","NA","NA","NA"
"Christina","Albert H. Jones Elementary School","CHR-13-2-A204-DW-SS-09","9","SS","Second Floor Water Fountain Room A204","01/25/2023","0.0056","mg/L","5.6","ppb",,"0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Fixture was replaced",
"Christina","Glasgow High School","CHR-12-1-200-DWC-SS-02","2","SS","Water Fountain w/Cooler by Room 200","05/20/2023","0.0056","mg/L","5.6","ppb",,"0.002","Fountain taken out of service.","Fountain being replaced with bottle fill water fountain",
"Red Clay","John Dickinson High School","RED-14-1-GYM-DW-SS-14","14","SS","Water Fountain Gym","03/09/2023","0.0056","mg/L","5.6","ppb",,"0.002","NA","NA","NA"
"Sussex Vo-Tech","Sussex Tech","ST-1-1-MAIL-WC-SS-25","25","SS","Water Cooler in Mail Room","02/11/2023","0.0047","mg/L","4.7","ppb",,"0.002","NA","NA","NA"
"Christina","McVey Elementary School","CHR-19-1-1-DW-SS-27","27","SS","Water Fountain Room 1","02/01/2023","0.0055","mg/L","5.5","ppb",,"0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Water bubbler on sink taken out of service.  Hand washing only sign posted.",
"Christina","McVey Elementary School","CHR-19-1-6-DW-SS-41","41","SS","Water Fountain Room 6","02/01/2023","0.0055","mg/L","5.5","ppb",,"0.002","NA","NA","NA"
"Polytech","Polytech","POLY-1-1-1620-DWC-SS-54","54","SS","Water Fountain w/Cooler Room 1620","02/18/2023","0.0055","mg/L","5.5","ppb",,"0.002","NA","NA","NA"
"Red Clay","Heritage Elementary School","RED-12-1-5-DW-SS-13","13","SS","Water Fountain Room 5","03/08/2023","0.0054","mg/L","5.4","ppb",,"0.002","NA","NA","NA"
"Red Clay","Stanton Middle School","RED-22-1-105-DW-SS-09","9","SS","Water Fountain Room 105","03/16/2023","0.0054","mg/L","5.4","ppb",,"0.002","NA","NA","NA"
"Woodbridge","Phillis Wheatley Elementary School","WOOD-1-1-MR-DWC-SS-14L","14","SS","Left Water Fountain w/Cooler by Men's Room","02/22/2023","0.0054","mg/L","5.4","ppb",,"0.002","NA","NA","NA"
"Christina","Albert H. Jones Elementary School","CHR-13-2-A203-DW-SS-06","6","SS","Second Floor Water Fountain Room A203","01/25/2023","0.0053","mg/L","5.3","ppb",,"0.002","Water bubbler on sink taken out of service.","Fixture was replaced",
"NCC Vo-Tech","Delcastle Technical High School","NCC Vo-Tech-1-2-C203-DWC-SS-58","58","SS","Second Floor Water Fountain w/Cooler Room C203","03/11/2023","0.0053","mg/L","5.3","ppb",,"0.002","NA","NA","NA"
"Woodbridge","Woodbridge Middle School","WOOD-4-2-215-WBF-SS-21","21","SS","Second Floor Water Bottle Filler Room 215","02/23/2023","0.0053","mg/L","5.3","ppb",,"0.002","NA","NA","NA"
"Christina","McVey Elementary School","CHR-19-1-5-DW-SS-29","29","SS","Water Fountain Room 5","02/01/2023","0.0052","mg/L","5.2","ppb",,"0.002","NA","NA","NA"
"Christina","Robert S. Gallaher Elementary School","CHR-10-1-121-DWC-SS-39","39","SS","Water Fountain w/Cooler Room 121","01/27/2023","0.0052","mg/L","5.2","ppb",,"0.002","NA","NA","NA"
"Cape Henlopen","Mariner Middle School","CAPE-6-1-BLR-WBF-SS-04","4","SS","Water Bottle Filler Boy's Locker Room","03/09/2023","0.0051","mg/L","5.1","ppb",,"0.002","NA","NA","NA"
"Christina","Maclary Elementary School","CHR-17-1-008-DW-SS-09","9","SS","Water Fountain Room 008","01/31/2023","0.0051","mg/L","5.1","ppb",,"0.002","NA","NA","NA"
"Christina","Albert H. Jones Elementary School","CHR-13-1-A101-DW-SS-16","16","SS","First Floor Water Fountain Room A101","01/25/2023","0.005","mg/L","5","ppb",,"0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Fixture was replaced",
"Christina","Shue-Medill Middle School","CHR-23-1-CAFE-DWC-SS-02","2","SS","Water Fountain w/Cooler Cafeteria","05/13/2023","0.005","mg/L","5","ppb",,"0.002","Fountain taken out of service.","Fountain being replaced with bottle fill water fountain","NA"
"Colonial","George Read Middle School","COL-5-1-M1-DW-SS-27","27","SS","Water Fountain Room M1","01/21/2023","0.005","mg/L","5","ppb",,"0.002","NA","NA","NA"
"Red Clay","Richardson Park Elementary School","RED-19-1-A9-DW-SS-11","11","SS","First Floor Room A9 Water Fountain","03/14/2023","0.005","mg/L","5","ppb",,"0.002","NA","NA","NA"
"Colonial","Castle Hills Elementary","COL-3-1-C3-DWC-SS-46","46","SS","Water Fountain w/Cooler Room C3","01/14/2023","0.0049","mg/L","4.9","ppb",,"0.002","Shutdown Fixture","Replace fixture and domestic feed lines",
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-2-B213-DW-SS-63","63","SS","Room B213 Water Fountain","04/21/2023","0.0048","mg/L","4.8","ppb",,"0.002","Fixture shut-off or signage posted to limit consumption","Filter added",
"Cape Henlopen","HO Brittingham Elementary School","CAPE-3-1-E107-DW-SS-23","23","SS","Water Fountain Room E107","03/10/2023","0.0048","mg/L","4.8","ppb",,"0.001","NA","NA","NA"
"Cape Henlopen","Milton Elementary School","CAPE-7-2-D203-DW-SS-59","59","SS","Room D203 Water Fountain","03/21/2023","0.0048","mg/L","4.8","ppb",,"0.002","Shut Off","Replaced Fixture","Sampling complete and results below program action level"
"Christina","Albert H. Jones Elementary School","CHR-13-1-A104-DW-SS-14","14","SS","First Floor Water Fountain Room A104","01/25/2023","0.0048","mg/L","4.8","ppb",,"0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Fixture was replaced",
"Colonial","Castle Hills Elementary","COL-3-1-M18-DWC-SS-44","44","SS","Water Fountain w/Cooler Room M18","01/14/2023","0.0048","mg/L","4.8","ppb",,"0.002","Shutdown Fixture","Replace fixture and domestic feed lines",
"Indian River","Ennis School (New)","IR-2-NUR-NS-SS-10","10","SS","Nurses Sink inside Nurses Office","01/07/2023","0.0048","mg/L","4.8","ppb",,"0.002","Fixture Shut Off","Signage Posted - Handwashing Only","NA"
"Indian River","Ennis School (New)","IR-2-HE-KF-SS-17","17","SS","Kitchen Faucet in Home Economics Room","01/07/2023","0.0048","mg/L","4.8","ppb",,"0.002","Fixture Shut Off","Signage Posted - Handwashing Only","NA"
"Indian River","GW Carver Education Center","IR-6-1-A107-DW-SS-04L","4","SS","Left Water Fountain Room A107","01/26/2023","0.0048","mg/L","4.8","ppb",,"0.002","NA","NA","NA"
"NCC Vo-Tech","Delcastle Technical High School","NCC Vo-Tech-1-1-A106-DWC-SS-09","9","SS","First Floor Water Fountain w/Cooler by Room A106","03/11/2023","0.0048","mg/L","4.8","ppb",,"0.002","Turned off unit and placed a sign stating not for consumption","removed water cooler and capped supply lines",
"Red Clay","Stanton Middle School","RED-22-1-GYM-DW-SS-08","8","SS","Water Fountain in Gym","03/16/2023","0.0048","mg/L","4.8","ppb",,"0.002","NA","NA","NA"
"Cape Henlopen","HO Brittingham Elementary School","CAPE-3-1-D105-DW-SS-32","32","SS","Water Fountain Room D105","03/10/2023","0.0047","mg/L","4.7","ppb",,"0.001","NA","NA","NA"
"Christina","Albert H. Jones Elementary School","CHR-13-1-A103-DW-SS-13","13","SS","First Floor Water Fountain Room A103","01/25/2023","0.0047","mg/L","4.7","ppb",,"0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Fixture was replaced",
"Christina","Maclary Elementary School","CHR-17-1-016-DW-SS-40","40","SS","Water Fountain Room 016","01/31/2023","0.0047","mg/L","4.7","ppb",,"0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Water bubbler on sink taken out of service.  Hand washing only sign posted.",
"Red Clay","John Dickinson High School","RED-14-2-202-DW-SS-17","17","SS","Second Floor Water Fountain Room 202","03/09/2023","0.0047","mg/L","4.7","ppb",,"0.002","NA","NA","NA"
"Cape Henlopen","Cape Henlopen High School","CAPE-2-1-B126-DWC-SS-37","37","SS","Water Fountain w/Cooler Room B126","03/08/2023","0.0046","mg/L","4.6","ppb",,"0.002","NA","NA","NA"
"Christina","Brookside Elementary School","CHR-5-1-123-DW-SS-11","11","SS","Water Fountain Room 123","01/20/2023","0.0046","mg/L","4.6","ppb",,"0.002","NA","NA","NA"
"Christina","Maclary Elementary School","CHR-17-1-005-DW-SS-12","12","SS","Water Fountain Room 005","01/31/2023","0.0046","mg/L","4.6","ppb",,"0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Water bubbler on sink taken out of service.  Hand washing only sign posted.",
"Christina","West Park Place Elementary School","CHR-25-1-111-DW-SS-29","29","SS","Water Fountain Room 111","02/07/2023","0.0046","mg/L","4.6","ppb",,"0.002","NA","NA","NA"
"Christina","Wilson Elementary","CHR-26-B-22P-DW-SS-12","12","SS","Basement Water Fountain Room 22P","02/03/2023","0.0046","mg/L","4.6","ppb",,"0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Water Bubbler taken out of service.  New water fountains added to school.","NA"
"Red Clay","Skyline Middle School","RED-21-1-116-DWC-SS-15","15","SS","First Floor Water Fountain w/Cooler Room 116","03/02/2023","0.0046","mg/L","4.6","ppb",,"0.002","NA","NA","NA"
"Christina","McVey Elementary School","CHR-19-1-17-DW-SS-20","20","SS","Water Fountain Room 17","02/01/2023","0.0045","mg/L","4.5","ppb",,"0.002","NA","NA","NA"
"Christina","McVey Elementary School","CHR-19-1-4-DW-SS-42","42","SS","Water Fountain Room 4","02/01/2023","0.0045","mg/L","4.5","ppb",,"0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Water bubbler on sink taken out of service.  Hand washing only sign posted.","NA"
"Christina","Smith Elementary School","CHR-24-1-102-DW-SS-42","42","SS","Water Fountain Room 102","02/02/2023","0.0045","mg/L","4.5","ppb",,"0.002","NA","NA","NA"
"Colonial","Carrie Downie Elementary School","C01-2-1-207-DW-SS-15","15","SS","Water Fountain Room 207","01/20/2023","0.0045","mg/L","4.5","ppb",,"0.002","Shutdown Fixture","Replace bubbler and water supply line",
"Indian River","Ennis School (New)","IR-2-K-KF-SS-1","1","SS","Kitchen Faucet","01/07/2023","0.0045","mg/L","4.5","ppb",,"0.002","Fixture Shut Off","Signage Posted - Handwashing Only","NA"
"Red Clay","Heritage Elementary School","RED-12-1-1-DW-SS-14","14","SS","Water Fountain Room 1","03/08/2023","0.0045","mg/L","4.5","ppb",,"0.002","NA","NA","NA"
"Christina","Glasgow High School","CHR-12-2-308-DWC-SS-22","22","SS","Water Fountain w/Cooler by Room 308","05/20/2023","0.0044","mg/L","4.4","ppb",,"0.002","Fountain taken out of service.","Fountain being replaced with bottle fill water fountain",
"Indian River","Ennis School (New)","IR-2-NUR-NS-SS-8","8","SS","Nurses Sink inside Nurses Office","01/07/2023","0.0044","mg/L","4.4","ppb",,"0.002","Fixture Shut Off","Signage Posted - Handwashing Only","NA"
"Charter School","Charter School of Wilmington","RED-1-3-319-DWC-SS-44","44","SS","Third Floor Water Fountain w/Cooler Room 319","03/03/2023","0.0043","mg/L","4.3","ppb",,"0.002","NA","NA","NA"
"Christina","Brookside Elementary School","CHR-5-1-134-DW-SS-23","23","SS","Water Fountain Room 134","01/20/2023","0.0043","mg/L","4.3","ppb",,"0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Fixture will be replaced.  Additional water coolers will be added to the school.","NA"
"Colonial","Gunning Bedford Middle School","COL-06-01-418-DWC-SS-37","37","SS","Water Fountain w/Cooler Room 418","01/20/2023","0.0043","mg/L","4.3","ppb",,"0.002","NA","NA","NA"
"Milford","Morris Early Childhood Center","MIL-6-1-B3-DWC-SS-12","12","SS","Water Fountain w/Cooler Room B3","05/10/2023","0.0043","mg/L","4.3","ppb",,"0.002","NA","NA","NA"
"Red Clay","Anna P. Mote Elementary School","RED-3-1-125-DW-SS-17","17","SS","Water Fountain Room 125","03/02/2023","0.0043","mg/L","4.3","ppb",,"0.002","NA","NA","NA"
"Red Clay","Anna P. Mote Elementary School","RED-3-1-101-DW-SS-21","21","SS","Water Fountain Room 101","03/02/2023","0.0043","mg/L","4.3","ppb",,"0.002","NA","NA","NA"
